"timestamp","label","/INPUTS","ga.bladeLength","ga.deaerationFlowLossCoef","ga.denitFlowLossCoef","ga.denitValveOpen","ga.flowLossCoef","ga.heatExchFlowLossCoef","ga.heatExchValveOpen","ga.lossMultiplier","ga.numBulbs","ga.ozoneFlowLossCoef","ga.ozoneValveOpen","ga.panelEff","ga.panelRating","ga.proteinRatedEff","ga.proteinRatedSpeed","ga.pumpEff","ga.pumpFlow","ga.pumpRatedHead","ga.pumpRatedRpm","ga.pumpRunRpm","ga.ratedFlow","ga.ratedHead","ga.referenceArea","ga.runSpeed","ga.surfaceArea","ga.tileCount","ga.turbineCount","/OUTPUTS","ga.baselineOceanVoyPowerUse","ga.baselineTotalPowerUse","ga.breakEvenYear","ga.originalEnergyCost","ga.totalEnergyCost","ga.totalEnergySaved","ga.totalFlowProtein","ga.totalInitialInvestment","ga.totalPowerConsumed","ga.totalPowerProduced","ga.totalPowerProtein","ga.totalPowerSand","ga.year5Roi","/METADATA","retries","max_retries","parent_uuid","msg"
1406435782.659,"","",2.4584999999999999,1.97435,2.9782500000000001,0.49104999999999999,6.4409499999999991,3.9438500000000003,0.77455000000000007,136.49250000000001,22.100000000000001,1.83755,0.83484999999999998,0.13150000000000001,362.32500000000005,0.85785,1447.5999999999999,0.82515000000000005,1683.0,79.340000000000003,1246.45,1033.1500000000001,1687.45,20.550000000000001,0.37340000000000007,1353.2,532.5,38.149999999999999,24.037500000000001,"",16522761.0,27765028.9,127.33333333333333,2776502.89,1702389.5008455799,10620120.613052465,81840.023704378706,136760022.78117076,17023895.008455798,121013.27849173573,1838493.4752036433,4063621.3117438927,-131389455.83539866,"",0,1,"",""
1406435782.667,"","",2.4424999999999999,0.70894999999999997,0.61184999999999989,0.81054999999999999,8.3318499999999993,2.8110500000000003,0.99504999999999999,146.79750000000001,23.700000000000003,1.1590500000000001,0.85465000000000002,0.24249999999999999,215.67500000000001,0.69135000000000002,1353.2,0.70694999999999997,1479.4000000000001,79.300000000000011,1124.05,1131.25,1425.6500000000001,22.190000000000001,0.42580000000000007,890.0,637.5,99.950000000000003,4.9375,"",16522761.0,27765028.9,171.5,2776502.89,2105791.6288579116,6529787.3836396039,51575.028606519496,114990458.56650719,21057916.288579114,177325.22778128137,727035.4317969766,9265412.5845634192,-111636902.26079674,"",0,1,"",""
1406435782.674,"","",1.5245,1.8451500000000001,2.02705,0.45055000000000001,3.4610500000000006,0.49235000000000007,0.24715000000000001,149.97749999999999,36.939999999999998,5.76105,0.81235000000000002,0.21990000000000004,317.52499999999998,0.86685000000000001,1253.2,0.63044999999999995,1515.0,75.019999999999996,1066.75,1096.45,1926.8499999999999,36.189999999999998,0.47260000000000002,1070.8,20.5,45.950000000000003,0.96250000000000002,"",16522761.0,27765028.9,1.5,2776502.89,2265612.5465900782,5103291.5123361908,90348.909038474812,752786.65731557866,22656125.465900779,5611.9217630305975,2600376.6442666599,8818567.2433971502,1801665.0597340311,"",0,1,"",""
1406435782.683,"","",1.5035000000000001,0.57404999999999995,1.34555,0.73765000000000003,0.40195000000000003,5.6902499999999998,0.90415000000000001,147.8175,22.82,4.78165,0.71694999999999998,0.13469999999999999,321.375,0.68145,1282.0,0.76634999999999998,1438.5999999999999,73.140000000000001,1254.55,1292.05,1401.8499999999999,31.350000000000001,0.44900000000000007,1590.0,428.5,89.75,17.912500000000001,"",16522761.0,27765028.9,398.75,2776502.89,2579303.4805946173,1896671.8071190678,99063.945774481705,78626623.21462357,25793034.805946171,75322.286934759046,6255476.1271107746,8370087.465770158,-77640626.167596653,"",0,1,"",""
1406435782.69,"","",2.4675000000000002,1.6589499999999999,0.62924999999999998,0.45774999999999999,1.2137500000000001,2.0322500000000003,0.34615000000000007,138.77250000000001,37.780000000000001,0.26224999999999998,0.51175000000000004,0.24970000000000003,241.22500000000002,0.76275000000000004,830.0,0.65744999999999998,1363.8,41.659999999999997,1293.8499999999999,1149.8499999999999,1742.75,34.969999999999999,0.12820000000000001,1284.4000000000001,98.5,17.25,18.212500000000002,"",16522761.0,27765028.9,-0.08333333333333333,2776502.89,3035853.3020211812,-2654472.2005675398,109865.48810104949,3803954.6063566217,30358533.020211808,60968.080355729093,16581722.547809018,2594985.0527585205,-5100706.6664625267,"",0,1,"",""
1406435782.697,"","",2.4344999999999999,0.44294999999999995,0.56835000000000002,0.49645000000000006,6.4607499999999991,3.8966500000000002,0.30925000000000002,146.45249999999999,32.659999999999997,4.96455,0.55404999999999993,0.16110000000000002,335.02499999999998,0.82485000000000008,1060.4000000000001,0.63975000000000004,1618.5999999999999,75.900000000000006,1193.95,1050.25,1489.3499999999999,30.509999999999998,0.48180000000000001,1366.0,271.5,58.950000000000003,7.8375000000000004,"",16522761.0,27765028.9,87.16666666666667,2776502.89,2396898.0950114685,3734110.006147733,108619.38851073464,33066436.8755299,23968980.950114686,61937.943737578578,5971446.0614443859,6816679.3324078815,-31168412.900587242,"",0,1,"",""
1406435782.704,"","",1.9395,1.90025,0.12465000000000001,0.44064999999999999,7.2824499999999999,1.4245500000000002,0.21925,139.7475,2.2600000000000002,0.65754999999999997,0.85914999999999997,0.15410000000000001,416.57499999999999,0.73575000000000002,1534.0,0.66584999999999994,1471.0,55.539999999999999,1239.55,1208.05,1819.75,34.630000000000003,0.19140000000000001,809.20000000000005,315.5,95.25,21.837500000000002,"",16522761.0,27765028.9,50.166666666666664,2776502.89,1667351.1010451675,11013247.803410308,45249.085048352921,55571764.795584559,16673511.010451674,78270.086138015671,715612.35346738924,4793375.2431223029,-50026005.850810394,"",0,1,"",""
1406435782.712,"","",1.6505000000000001,0.40115000000000001,2.1836500000000001,0.31645000000000001,8.0645500000000006,1.1118500000000002,0.95815000000000006,149.16749999999999,27.780000000000001,4.2329499999999998,0.15625,0.12690000000000001,151.97499999999999,0.65144999999999997,906.0,0.64664999999999995,1527.0,53.859999999999999,1261.1500000000001,1177.45,1690.95,29.890000000000001,0.33020000000000005,889.20000000000005,195.5,41.349999999999994,24.837500000000002,"",16522761.0,27765028.9,11.833333333333334,2776502.89,2077924.957534998,6937902.3163971528,88097.755128281453,8231412.9933521319,20779249.575349979,47877.008252866231,3863640.5274508311,5720692.5561520159,-4738523.3310271204,"",0,1,"",""
1406435782.723,"","",1.9435,1.6817500000000001,0.39434999999999998,0.55945,2.50075,0.22685,0.72414999999999996,141.26249999999999,11.94,0.60445000000000004,0.93025000000000002,0.16270000000000001,270.27499999999998,0.62234999999999996,1053.2,0.79815000000000003,1447.8,79.260000000000005,1220.3499999999999,1105.1500000000001,1523.6500000000001,31.57,0.17099999999999999,1194.8,788.5,95.650000000000006,3.7374999999999998,"",16522761.0,27765028.9,421.25,2776502.89,2248063.883511778,5140417.8321423084,82606.915523885589,222565030.92365399,22480638.83511778,143972.23273991147,6253375.5332819419,5128442.0345757501,-219922835.89121288,"",0,1,"",""
1406435782.73,"","",2.1284999999999998,0.97494999999999998,0.91634999999999989,0.34615000000000007,4.7282500000000001,0.91715000000000013,0.64134999999999998,140.1525,33.340000000000003,4.2211499999999997,0.83574999999999999,0.23170000000000002,196.77500000000001,0.66584999999999994,839.60000000000002,0.81885000000000008,1593.4000000000001,79.5,1236.55,1139.05,1568.45,35.009999999999998,0.44259999999999999,1391.5999999999999,338.5,22.550000000000001,9.0124999999999993,"",16522761.0,27765028.9,-0.08333333333333333,2776502.89,3595013.7994877473,-8283045.7816676646,146748.16731805686,30046927.135359038,35950137.994877473,97936.686790194159,18665488.692672484,6139792.4889951777,-34139481.682797775,"",0,1,"",""
