timestamp,ga.bladeLength,ga.numBulbs,ga.panelEff,ga.panelRating,ga.surfaceArea,ga.tileCount,ga.turbineCount,ga.baselineOceanVoyPowerUse,ga.baselineTotalPowerUse,ga.breakEvenYear,ga.originalEnergyCost,ga.totalEnergyCost,ga.totalEnergySaved,ga.totalFlowProtein,initialInvestment,ga.totalPowerConsumed,powerProduced,ga.totalPowerProtein,ga.totalPowerSand,ga.year10Roi,ga.year1Roi,ga.year20Roi,ga.year30Roi,ga.year5Roi,ga.roi,ga.roiyear
1406438329,1.61405,29.802,0.21933,232.9825,65.15,73.635,8.47875,16522761,27765028.9,18.83333333,2776502.89,2687168.257,870958.7975,57997.59164,1680654.654,26871682.57,22387.53098,4069989.911,11581286.69,-787308.3254,-1591320.021,106038.0031,999384.3316,-1233981.49,-1591320.021,1
1406438329,2.03125,39.882,0.23387,273.9675,495.75,77.035,11.70125,16522761,27765028.9,875.6666667,2776502.89,2675300.322,870958.7975,57997.59164,88618585.89,26753003.22,141066.8801,4069989.911,11581286.69,-87606560.21,-88517383.32,-86594534.54,-85582508.86,-88112573.05,-88517383.32,1
1406438329,2.43325,31.906,0.13817,126.0225,605.85,48.385,21.15625,16522761,27765028.9,615.5833333,2776502.89,2676433.886,870958.7975,57997.59164,61599290.06,26764338.86,129731.2465,4069989.911,11581286.69,-60598600.02,-61499221.06,-59597909.98,-58597219.93,-61098945.04,-61499221.06,1
1406438330,1.83505,26.966,0.12095,352.2275,383.25,29.545,18.40375,16522761,27765028.9,731.75,2776502.89,2682451.014,870958.7975,57997.59164,68817655.65,26824510.14,69559.96582,4069989.911,11581286.69,-67877136.88,-68723603.77,-66936618.12,-65996099.36,-68347396.26,-68723603.77,1
1406438330,1.97345,7.658,0.24291,300.4275,60.75,34.695,10.60375,16522761,27765028.9,20,2776502.89,2686526.43,870958.7975,57997.59164,1792301.379,26865264.3,28805.80726,4069989.911,11581286.69,-892536.7744,-1702324.919,7227.830353,906992.4351,-1342419.077,-1702324.919,1
1406438330,1.70885,26.542,0.15625,403.0125,446.65,50.245,9.28125,16522761,27765028.9,1114.5,2776502.89,2680975.939,870958.7975,57997.59164,106464783.3,26809759.39,84310.71325,4069989.911,11581286.69,-105509513.8,-106369256.4,-104554244.3,-103598974.8,-105987148.6,-106369256.4,1
1406438330,2.18895,10.53,0.16601,341.8325,498.35,83.155,1.43375,16522761,27765028.9,1164.666667,2776502.89,2680190.621,870958.7975,57997.59164,112168054.8,26801906.21,92163.89637,4069989.911,11581286.69,-111204932.1,-112071742.5,-110241809.4,-109278686.7,-111686493.4,-112071742.5,1
1406438330,2.14885,39.466,0.19453,416.3475,27.25,40.685,0.89125,16522761,27765028.9,8.416666667,2776502.89,2688701.798,870958.7975,57997.59164,733888.0771,26887017.98,7052.120021,4069989.911,11581286.69,144122.8404,-646086.9854,1022133.758,1900144.676,-294882.6184,-646086.9854,1
1406438330,1.74085,2.298,0.16715,112.8625,383.05,42.005,6.42125,16522761,27765028.9,234.0833333,2776502.89,2681838.925,870958.7975,57997.59164,22157318.5,26818389.25,75680.84841,4069989.911,11581286.69,-21210678.85,-22062654.54,-20264039.21,-19317399.56,-21683998.68,-22062654.54,1
1406438330,2.36645,27.37,0.20199,238.5125,689.05,23.475,1.19625,16522761,27765028.9,1455.916667,2776502.89,2674056.175,870958.7975,57997.59164,149146339.3,26740561.75,153508.3563,4069989.911,11581286.69,-148121872.1,-149043892.6,-147097405,-146072937.8,-148634105.7,-149043892.6,1
1406438330,2.38515,26.198,0.14699,126.1625,746.35,62.775,19.81125,16522761,27765028.9,910.4166667,2776502.89,2673992.167,870958.7975,57997.59164,93322051.94,26739921.67,154148.435,4069989.911,11581286.69,-92296944.71,-93219541.22,-91271837.48,-90246730.24,-92809498.32,-93219541.22,1
1406438330,1.51825,23.47,0.19321,144.9925,168.65,18.265,14.45375,16522761,27765028.9,62.83333333,2776502.89,2684833.398,870958.7975,57997.59164,5758311.189,26848333.98,45736.11777,4069989.911,11581286.69,-4841616.273,-5666641.697,-3924921.358,-3008226.443,-5299963.731,-5666641.697,1
1406438330,2.28785,21.03,0.14953,299.5175,739.95,4.085,19.47375,16522761,27765028.9,2124.083333,2776502.89,2674224.539,870958.7975,57997.59164,217247142.7,26742245.39,151824.7076,4069989.911,11581286.69,-216224359.2,-217144864.3,-215201575.7,-214178792.2,-216735750.9,-217144864.3,1
1406438330,1.67595,30.59,0.09071,342.0775,981.15,34.245,21.93625,16522761,27765028.9,4441.083333,2776502.89,2677821.869,870958.7975,57997.59164,438242671,26778218.69,115851.4107,4069989.911,11581286.69,-437255860.8,-438143990,-436269050.6,-435282240.4,-437749265.9,-438143990,1
1406438330,2.14175,39.366,0.21803,290.0325,76.05,59.405,6.19375,16522761,27765028.9,28.58333333,2776502.89,2686724.417,870958.7975,57997.59164,2559277.004,26867244.17,26825.93256,4069989.911,11581286.69,-1661492.273,-2469498.531,-763707.5433,134077.1868,-2110384.638,-2469498.531,1
1406438330,2.38235,23.822,0.24015,410.1525,297.65,24.335,17.28625,16522761,27765028.9,488.5,2776502.89,2678602.8,870958.7975,57997.59164,47823984.95,26786028,108042.0986,4069989.911,11581286.69,-46844984.05,-47726084.86,-45865983.16,-44886982.26,-47334484.5,-47726084.86,1
1406438330,2.28985,29.498,0.11791,336.8975,802.45,98.805,0.84125,16522761,27765028.9,2956.083333,2776502.89,2678972.661,870958.7975,57997.59164,288305028,26789726.61,104343.4956,4069989.911,11581286.69,-287329725.7,-288207497.8,-286354423.5,-285379121.2,-287817376.9,-288207497.8,1
